Project,Sample,Individual ID,LSIDs,Bait Set,Processing Location,Research Project Name,Initiative Name,PDO Number,Gssr Id,Product,Product Part Number,Day of Analysis Start,Day of Analysis End,Day of Last Run End Date,LCSET,Aggregated Lanes,WR ID,BAM Path,BAM Path with version,# Lanes in Aggregation,% Adapter (Al),PF Reads,PF Reads %,PF Reads Aligned,PF Reads Aligned %,Total Reads,Coverage (19 mb)
G143246,AD11-21,'PatAD36,BROAD:SEQUENCING_SAMPLE:1413647.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413647,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143246/AD11-21/current/AD11-21.bam,/seq/picard_aggregation/G143246/AD11-21/v2/AD11-21.bam,3,0.0077,"27,062,138",100,"26,091,976",96.4151,"27,062,138",207.3625461
G143245,AD11-23,'PatAD111,BROAD:SEQUENCING_SAMPLE:1413664.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413664,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143245/AD11-23/current/AD11-23.bam,/seq/picard_aggregation/G143245/AD11-23/v2/AD11-23.bam,3,0.029,"28,643,340",100,"27,834,663",97.1767,"28,643,340",221.2123217
G143241,AD11-77,'PatAD82,BROAD:SEQUENCING_SAMPLE:1413625.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413625,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143241/AD11-77/current/AD11-77.bam,/seq/picard_aggregation/G143241/AD11-77/v2/AD11-77.bam,3,0.0084,"30,266,454",100,"29,169,207",96.3747,"30,266,454",231.8184346
G143242,AD11-79,'PatAD82,BROAD:SEQUENCING_SAMPLE:1413626.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413626,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143242/AD11-79/current/AD11-79.bam,/seq/picard_aggregation/G143242/AD11-79/v2/AD11-79.bam,3,0.0132,"18,563,494",100,"17,813,554",95.9601,"18,563,494",141.5708765
G143243,AD12-27,'PatAD170,BROAD:SEQUENCING_SAMPLE:1413621.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413621,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143243/AD12-27/current/AD12-27.bam,/seq/picard_aggregation/G143243/AD12-27/v2/AD12-27.bam,3,0.022,"25,000,290",100,"23,790,579",95.1612,"25,000,290",189.0724963
G143250,AD2-25,'PatAD62,BROAD:SEQUENCING_SAMPLE:1413636.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413636,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143250/AD2-25/current/AD2-25.bam,/seq/picard_aggregation/G143250/AD2-25/v2/AD2-25.bam,3,0.0183,"20,609,912",100,"19,615,161",95.1734,"20,609,912",155.8889111
G143247,AD6-82,'PatAD119,BROAD:SEQUENCING_SAMPLE:1413628.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413628,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143247/AD6-82/current/AD6-82.bam,/seq/picard_aggregation/G143247/AD6-82/v2/AD6-82.bam,3,0.0063,"30,604,934",100,"29,364,691",95.9476,"30,604,934",233.3720179
G143244,AD7-34,'PatAD126,BROAD:SEQUENCING_SAMPLE:1413627.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413627,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143244/AD7-34/current/AD7-34.bam,/seq/picard_aggregation/G143244/AD7-34/v2/AD7-34.bam,3,0.0074,"15,980,062",100,"15,524,709",97.1505,"15,980,062",123.3805821
G143248,AD9-17,'PatAD119,BROAD:SEQUENCING_SAMPLE:1413624.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413624,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143248/AD9-17/current/AD9-17.bam,/seq/picard_aggregation/G143248/AD9-17/v2/AD9-17.bam,3,0.0244,"18,028,368",100,"17,216,441",95.4964,"18,028,368",136.8253995
G143234,AFA_1003_07,'AFA,BROAD:SEQUENCING_SAMPLE:1413670.0,,OnPrem,Cuomo - PCR-Free_Cryptococcus,Cuomo - PCR-Free_Cryptococcus,PDO-15042,1413670,HiSeq X Ten 2x151 Paired Lane,P-SEQ-0018,15-Jun-18,15-Jun-18,4-Jun-18,,"HH77KCCXY/1,HH77KCCXY/2,HK3TGCCXY/4",57096,/seq/picard_aggregation/G143234/AFA_1003_07/current/AFA_1003_07.bam,/seq/picard_aggregation/G143234/AFA_1003_07/v2/AFA_1003_07.bam,3,0.037,"12,879,844",100,"11,164,237",86.6799,"12,879,844",88.72630458
